Name,Url,Total Funding,Funding Stage,Description,Year Founded,Exit Status,Location,State,Employees,Twitter Followers,LinkedIn Id,Category
NetBase Solutions,netbase.com,84600000,Late Stage,With the NetBase real-time social media monitoring you get real-time social information that fuels action for your whole business.,2004,Private,"Mountain View, California, CA",CA,140,8882,57753,Consumer marketing
Salesforce,salesforce.com,102910000,Late Stage,"Salesforce is the Customer Success Platform. Our social and mobile cloud technologies—including our flagship sales and CRM applications—help companies connect with customers, partners, and employees in entirely new ways. Privacy Statement: http://www.salesforce.com/company/privacy/",1999,Public,"San Francisco, CA",CA,25000,328765,3185,B2B sales and marketing
GumGum,gumgum.com,36825000,Series C,GumGum’s mission is to add value to every online image,2008,Private,"Santa Monica, California, CA",CA,230,1849,167379,Consumer marketing
Lexalytics,lexalytics.com,0,None Listed,"Text Analytics & Survey Analysis with highly customizable Sentiment Analysis, Categorization & Named Entity Extraction via API⁄desktop⁄on-premise⁄mobile.",2003,Private,"Amherst, MA",MA,40,21052,145596,Consumer marketing
FusionOps,fusionops.com,43656544,Series C,"Mine the world’s information and makes it actionable to help people make faster, better business decisions",1999,Private,"Mountain View, California, CA",CA,180,503,115300,Industrials and manufacturing
HireVue,hirevue.com,93000000,Late Stage,Build and Coach The World's Best Teams by Providing Video Technology and Predictive Analytic Solutions.,2004,Private,"South Jordan, Utah, UT",UT,250,27783,134703,HR and talent
SiSense,sisense.com,94000000,Late Stage,"Business Intelligence software by Sisense, the industry leader in BI for complex data - easily prepare, analyze & explore growing data from multiple sources.",2010,Private,"Natanya, Israel",,350,3435,148828,Business intelligence (BI)
LivePerson,liveperson.com,39300000,Pre-Series A,"We believe that every interaction—be it between employees, clients, consumers, or the community—is an opportunity to achieve great things. We believe that connection is the foundation for trust, innovation and ultimately, success.It begins in our workplace, where we seek to connect with each other on more than just a professional level. We are compelled by our collective mission of connecting brands and their customers, giving them the service experience they deserve.LivePerson’s leading platfor...",1995,Public,"New York, NY",NY,1000,10644,164748,Customer management
Zendesk,zendesk.com,85500000,Late Stage,"Customer service software and support ticket system by Zendesk®. Web-based help desk software used by 200,000+ organizations worldwide. Free 30 day trial.",2007,Public,"San Francisco, CA",CA,1300,70365,418095,Customer management
Cycorp,cyc.com,0,None Listed,To enable the creation of truly intelligent systems!,1994,Private,"Austin, TX",TX,180,92,22255,Engineering
DeepVu,developers.vufind.com,930000,Pre-Series A,Deep-learning for cognitive supply chains and maximizing margins for manufacturers.,2014,Private,"Berkeley, CA",CA,5,1390,752869,Industrials and manufacturing
Diffbot,diffbot.com,12000000,Series A,Make the web machine readable.,2010,Private,"Palo Alto, CA",CA,20,4782,632485,Engineering
SAS,sas.com,0,None Listed,"SAS is the leader in business analytics software and services, and the largest independent vendor in the business intelligence market. Through innovative solutions, SAS helps customers at more than 70,000 sites improve performance and deliver value by making better decisions faster. Since 1976 SAS has been giving customers around the world THE POWER TO KNOW®.",1976,Private,"Cary, NC",NC,15000,33430,1491,Business intelligence (BI)
Clarabridge,clarabridge.com,124941646,Series C,"Our mission is to sell the value of: Improving Consumers' Experiences, Satisfaction and Loyalty Worldwide",2006,Private,"Reston, Virginia, VA",VA,380,5489,48781,Customer management
CrowdFlower,crowdflower.com,38000000,Late Stage,"Training data, machine learning, and human-in-the-loop in a single, essential platform for data science teams",2007,Private,"San Francisco, CA",CA,150,12531,932698,Data science
IPsoft,ipsoft.com,0,None Listed,To optimize IT and business processes through the use of autonomic and cognitive technologies. By allowing virtual engineers and agents to automate routine tasks we free human talent to focus on creating value through innovation.,1998,Private,"New York, NY",NY,1800,1854,164462,Customer management
Lattice Engines,lattice-engines.com,74750000,Late Stage,Our mission is to turn information into action. We believe in a world in which marketing and sales professionals have access to the data and insights to help them do their jobs better and see real results.,2006,Private,"San Mateo, California, CA",CA,150,4862,82753,B2B sales and marketing
Sentient Technologies,sentient.ai,143780450,Series C,Sentient has created the largest and most powerful intelligent system in the world to transform how businesses tackle complex problems.,2007,Private,"San Francisco, CA",CA,90,939,1262869,Digital commerce
