"tool_mage_url","tool","tool_description","category","upvotes","tags"
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/645bd29bcb682dfdb9c2d3b9_Screen%20Shot%202023-05-10%20at%2010.49.01%20PM.png","Inbox Narrator","An app for email summaries delivered by a voice assistant.","Productivity","1",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/645bcc3d89673d8485cf5c9a_chattube-io-logo.webp","ChatTube","A Google Chrome Extension to chat with any youtube video.","Chat","5",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/645b3f36639d02730fb1e8c5_smaller_for_website_transparent%2520logo.png","Bito","A tool to generate custom designs for any project, including NFTs.","Generative Art","3",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/645bcb535cb989259c72991e_bugasura-io-logo.svg","Bagasura","A platform for bug tracking, streamlining workflows and collaboration.","Productivity","2",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6459d01255b7ff41691d6752_meta.jpeg","CometCore AI","A chat platform for automating tasks and creating multimedia content.","Chat","10",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6459d01155b7ff505b1d6748_shap-e.png","Shap-e","A GitHub repository to generate 3D objects from text or images.","Generative Art","9",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6459d00e824508eb09673511_wpgpt-1.png","WPGPT","A WordPress plugin to monetize chatbots.","Chat","36",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6459d00e42367820843024a7_a62a86_e3802d6500ac4abe9f5c5738e97781bc%257Emv2.png","Breeze","A tool to create professional product photos","Image Improvement","11",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/645a0b16ec3d2ab8da7113b5_pagegpt-pro-logo.png","PageGPT","A tool to generate landing pages.","Marketing","19",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/645a0a96d6748ac4c74f84be_dreamlook-ai-logo.png","Dreamlook.ai","A platform to train models and fine tuning for image generation.","Generative Art","28",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/645879603d9ab4b45ccb93e5_cover.jpeg","Parsio","A tool to automate data extraction from various files formats.","Productivity","18",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6458795fcba3aa1700b14a3c_thumbnail.png","Samwell","A tool to generate plagiarism essays with AI assistance and MLA references.","Copywriting","11",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6458795e64d8eb4354bba1be_share.jpeg","Drumloop AI","A drum loop generator..","Music","8",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6458795dcba3aa10cab141f3_homepage_og_image_a89de5e0c3.png","VEED","An online video editing platform.","Video Editing","7",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64592f26661554548777db4f_podsqueeze-logo.png","Podsqueeze","A tool for podcast content generation and editing.","Podcasting","8",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6458795c8359638d2802e226_jZXbfZedtLyhbemrmnWkbYBBzI.png","Chadview","A Q&A chatbot for videos.","Chat","4",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6458795b1c94495fb32daed3_https%253A%252F%252Fa7b19d7a245c07286533d7a21bca9acc.cdn.bubble.io%252Ff1683175506399x642153344571672700%252FThumbnail%252520New%252520May%2525204.1.jpeg","AudioPen","A tool to transcribe spoken words into summarized text.","Productivity","12",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6458795b64d8eb5b93bba1af_large-og.png","JediGPT","A chatbot for guidance and advice to help users become a Jedi.","Chat","8",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6458e437ce192e399849aa04_grid-logo.png","GRID","A spreadsheet editor with formula assistance.","Productivity","9",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6458795959cbe77553dfce31_og_image.png","Twelve Labs","A platform provides video search APIs for developers.","AI Detection","6",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6455588c4d8e3f37fbb1def2_Share.jpeg","Cyte","MyCyte is a private, secure, open-source knowledge base that helps you monitor and search your digital history.","Productivity","31",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6456a105f6ba5c710108a94c_muzaic-studio-logo.png","Muzaic Studio","An app to compose soundtrack for videos.","Music","15",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6456a042edfb9f018a1083de_humanfest-chat-logo.png","HumanFest","A tool that connects users to chat with strangers or bots.","Chat","8",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6455588a364802410d91c7d9_SA_FrontRunners_2021.png","Squirrly SEO","An all-in-one SEO suite.","","3",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64555888892c8c6cf812585b_CleanShot-2023-02-13-at-12.02.26.png","Plumy","A tool to create content for Shopify stores.","Marketing","12",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6456955c1709f2518e5cac00_klynk-ai-logo.png","Klynk","A tool to create personalized email campaigns.","Marketing","6",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64540a280c84831a7fa96118_Impossible-Images-Logo-square.png","Impossible Images","A platform to generate images for design and branding.","Generative Art","59",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6454f1a948b6e9f915bac75c_wonderplan-ai-logo.png","Wonderplan","A tool to generate personalised travel plan.","Productivity","20",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64540a27f915a5ea1ce49cab_LGLGrceAqkGWA8BOfyMA4iXOwnA.webp","Noty.ai","A tool for meeting assistance and team collaboration.","Productivity","10",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6454eea5bff4c91d3411744d_heuristi-ca-logo.png","Heuristica","A tool to knowledge exploration for diverse topics.","Research","18",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64540a260e3568846747f4b2_logo.png","AgentRunner.ai","A tool to create and train autonomous AI agents.","Productivity","25",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64540a2512d0f28dd3a0b065_5a374837aab376bb677b3a968c337532ea16f6cb-800x600.png","Cohere","A platform with language tools to build business products.","Research","7",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/645498db8d7e0cc00abbd113_vatic-ai-logo.png","Vatic AI","An app to create videos from text.","Text-To-Video","14",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64540a2368458abdf68d36f4_9jI1UWITcw8SzWipQ6cyKXYuQA0.png","Spellpage","A tool to automate tasks.","Productivity","6",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64540a23f2e78f95b3c9b91e_Social-preview-image-1.jpeg","Xinva","A tool to create designs.","Generative Art","18",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6453a55e24da47d9feef5d0e_octoicons-logo.png","Octoicons","A tool to generate custom SVG icons.","Generative Art","10",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6452cc3e4f61ba4e5bd4f35e_opengraph-image.jpeg","Pixelfy","A tool to generate pixel art.","Generative Art","19",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6451e388a06af44f4087c28e_hey-there-share.png","Hey There","An AI assistant with different personas for various tasks.","Productivity","19",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6451e38aca7c95787a6ecff2_tailwind-meta.png","Tailwind","A platform for social media and email marketing.","Marketing","6",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6451e389d5d87071ca3c5bbd_Homepage-min.png","tldv","A platform to record and transcribe online meetings with summarization.","Productivity","10",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6451e387b021790d9a795cc6_og-square.jpeg","ScoreCloud","A software for music notation to convert songs into music sheet.","Music","12",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6451e386ca7c952b9d6ecab2_songr-logo-grey.png","SongR","A tool to generate personalised songs.","Music","32",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64529b11b1a78c975f10864c_templify-ai-logo.png","Templify.ai","A tool for content generation with templates and images.","Copywriting","11",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6452980965404fd5082b44da_quino-ai-logo.png","Quino","A tool to summarize, chat, take notes and test knowledge.","Chat","10",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6452974fe9dcec25a2c72673_pictales-online-logo.png","PicTales","A tool to create stories from images in multiple languages and genres.","Generative Art","27",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6451e383e2ba0ff0b6cd9eb0_https%253A%252F%252Fddc7cc117a233d845226cb3739a847ef.cdn.bubble.io%252Ff1682993350862x683297593506603000%252FFormulas%252520HQ-01.png","Formulas HQ","A tool to generate formulas for various applications and scripts.","Generative Code","2",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64520323497798b46586a04b_twifts-logo.png","Twifts","A gifting assistant based on your tweets.","For Fun","8",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6451e381e6dbd0276ae71b82_jamgpt-preview.png","Jam","A code debugging tool with code analysis and suggestions.","Generative Code","10",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6451e37fc02bf0c464f3d62d_mainpage.png","Midjourney for Slack","A slack bot to generate Midjourney images.","Generative Art","3434",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6450197ca5d2406eed03b8e7_1827de1f-999a-4cbf-94a7-e7ac41abff50.jpeg","CamelAGI","A tool to automate repetitive tasks by deploying ai agents.","Productivity","36",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64516956d624a2aeab2c277e_sloped-xyz-logo.png","Sloped","A tool to transform data queries into shareable dashboards.","Productivity","14",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6451675e1fdf7883fe7f3bf6_myfit-ai-logo.png","MyFit AI","A tool to create personalized fitness programs.","Self-Improvement","26",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6450197adde26001c3ab06fd_pexels-anastasia-shuraeva-4079306-scaled.jpeg","Valossa AI","A tool for audio and video content analysis.","AI Detection","16",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64516b7ad311117f06c08622_chatwithdata-ai-logo.png","Chat With Data","A tool to extract insights and information from various files.","Chat","24",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64501977fc3ae2609220c355_Logo_Blue_Square.png","Procys","A tool to automate data extraction and accounts payable processes.","Productivity","8",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64515c2b2c498af3a8316d84_magify-design-logo.png","Magify.Design","A tool to generate UI/UX designs, code, images, and UX writing.","Generative Code","6",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64515986b73983e456ec75be_narraive-logo.png","Narraive","An interactive storytelling game to become the protagonists of your own stories.","For Fun","13",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/641e3e1451f9bc979fd22079_9b4c843d-9fd4-4775-b40f-0d12d7d45720.jpeg","LangGPT","A tool to use ChatGPT in multiple languages.","Translation","19",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6451572dcecf3ff38bbb64ea_educationgenius-io-logo.png","EducationGenius","A platform for educators to create customized educational content.","Productivity","23",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/6451551e6765c65639ef1033_deepfakedetector-ai-logo.png","Deepfake Detector","A tool to detect AI-generated deepfakes.","AI Detection","47",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/645019722711eb9f6c03acff_StarByFaceLogo.png","Star By Face","A tool to find celebrity look-alike suggestions based on your photo.","AI Detection","31",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64501970d088b79c0793b0d6_card.jpeg","Rapli","A whatsapp bot to generate rap songs.","Music","18",""
"https://global-uploads.webflow.com/63994dae1033718bee6949ce/64501970d088b7bae593b0d1_644c36f708e9487084dba39f_Open%2520Graph.jpeg","PluginLab","A tool for ChatGPT plugin creators to authenticate and plugin analytics.","Productivity","3",""
